name,code,population
Drauseni,BV,509
Ionesti,BV,187
Palos,BV,315
Cincu,BV,1518
Toarcla,BV,348
Comana de Jos,BV,1020
Comana de Sus,BV,372
Crihalma,BV,670
Ticusu Nou,BV,557
Cristian,BV,3764
Dumbravita,BV,3618
Vladeni,BV,884
Feldioara,BV,4908
Colonia Reconstructia,BV,696
Rotbav,BV,943
Fundata,BV,642
Fundatica,BV,170
Sirnea,BV,512
Halchiu,BV,2752
Crizbav,BV,1373
Cutus,BV,525
Satu Nou,BV,1033
Harman,BV,3749
Podu Oltului,BV,531
Harseni,BV,601
Copacel,BV,761
Malinis,BV,185
Margineni,BV,378
Sebes,BV,688
Hoghiz,BV,2409
Bogata Olteana,BV,369
Cuciulata,BV,1230
Dopca,BV,547
Fantana,BV,370
Lupsa,BV,132
Homorod,BV,1452
Jimbor,BV,549
Mercheasa,BV,501
Jibert,BV,790
Dacia,BV,724
Granari,BV,525
Lovnic,BV,593
Valeni,BV,179
Lisa,BV,1085
Breaza,BV,634
Pojorta,BV,188
Maierus,BV,1534
Arini,BV,737
Mandra,BV,1364
Ileni,BV,818
Rausor,BV,446
Sona,BV,312
Toderita,BV,367
Moieciu de Jos,BV,2136
Cheia,BV,530
Drumul Carului,BV,169
Magura,BV,691
Moieciu de Sus,BV,963
Pestera,BV,682
Ormenis,BV,1825
Augustin,BV,1207
Parau,BV,646
Grid,BV,375
Venetia de Jos,BV,736
Venetia de Sus,BV,456
Poiana Marului,BV,3587
Paltin,BV,173
Sinca Noua,BV,1466
Prejmer,BV,4841
Lunca Calnicului,BV,3071
Stupinii Prejmerului,BV,387
Racos,BV,2590
Mateias,BV,406
Recea,BV,1017
Berivoi,BV,712
Dejani,BV,459
Gura Vaii,BV,451
Iasi,BV,345
Sasciori,BV,247
Savastreni,BV,203
Sercaia,BV,1478
Halmeag,BV,659
Vad,BV,593
Sinca Veche,BV,1012
Bucium,BV,305
Ohaba,BV,332
Persani,BV,1104
Sercaita,BV,739
Valcea,BV,214
Sanpetru,BV,3309
Soars,BV,555
Barcut,BV,392
Felmer,BV,491
Rodbav,BV,295
Selistat,BV,217
Tarlungeni,BV,3096
Carpinis,BV,383
Purcareni,BV,1484
Zizin,BV,1950
Teliu,BV,3485
Ticusu Vechi,BV,656
Cobor,BV,200
Ucea de Jos,BV,889
Corbi,BV,146
Feldioara,BV,245
Ucea de Sus,BV,942
Ungra,BV,1257
Daisoara,BV,730
Vama Buzaului,BV,812
Acris,BV,1056
Buzaiel,BV,512
Dalghiu,BV,878
Vistea de Jos,BV,768
Dragus,BV,1190
Oltet,BV,663
Rucar,BV,470
Vistea de Sus,BV,674
Vistisoara,BV,27
Voila,BV,763
Cincsor,BV,720
Dridif,BV,442
Ludisor,BV,241
Sambata de Jos,BV,548
Sambata de Sus,BV,1465
Statiunea Climaterica Sambata,BV,59
Voivodeni,BV,556
Vulcan,BV,3224
Colonia 1 Mai,BV,689
Holbav,BV,1506
Poiana Brasov,BV,0
Braila,BR,234110
Chiscani,BR,3992
Lacu Sarat,BR,1218
Varsatura,BR,215
Faurei,BR,4356
Surdila-Greci,BR,726
Bratesu Vechi,BR,147
Faurei Sat,BR,452
Horia,BR,415
Baraganul,BR,3638
Bertestii de Jos,BR,911
Bertestii de Sus,BR,374
Gura Calmatui,BR,376
Gura Garlutei,BR,0
Nicolesti,BR,0
Spiru Haret,BR,1606
Bordei Verde,BR,1547
Constantin Gabrielescu,BR,870
Filiu,BR,0
Liscoteanca,BR,614
Ciocile,BR,2221
Chioibasesti,BR,285
Odaieni,BR,197
Chichinetu,BR,457
Ciresu,BR,1151
Batogu,BR,787
Ionesti,BR,95
Scarlatesti,BR,966
Vultureni,BR,704
Dudesti,BR,1802
Bumbacari,BR,21
Tataru,BR,2178
Frecatei,BR,444
Agaua,BR,502
Cistia,BR,17
Salcia,BR,65
Stoienesti,BR,37
Titcov,BR,531
Galbenu,BR,1114
Drogu,BR,972
Pantecani,BR,176
Satuc,BR,802
Zamfiresti,BR,421
Gemenele,BR,1875
Gavani,BR,229
Gradistea,BR,1457
Ibrianu,BR,848
Maraloiu,BR,406
Gropeni,BR,3808
Ianca,BR,6897
Berlesti,BR,403
Gara Ianca,BR,130
Oprisenesti,BR,874
Perisoru,BR,1125
Plopu,BR,1555
Tarlele Filiu,BR,752
Insuratei,BR,6729
Lacu Rezii,BR,413
Maru Rosu,BR,104
Valea Calmatuiului,BR,150
Jirlau,BR,3192
Bradeanca,BR,0
Marasu,BR,1087
Bandoiu,BR,531
Magureni,BR,668
Nedeicu,BR,0
Plopi,BR,294
Tacau,BR,895
Maxineni,BR,1732
Corbu Nou,BR,1058
Corbu Vechi,BR,336
Latinu,BR,703
Voinesti,BR,125
Mircea Voda,BR,2604
Dedulesti,BR,1065
Movila Miresii,BR,3141
Esna,BR,345
Tepes Voda,BR,908
Racovita,BR,824
Corbeni,BR,160
Custura,BR,452
Ramnicelu,BR,1623
Boarca,BR,118
Constantinesti,BR,392
Mihail Kogalniceanu,BR,268
Romanu,BR,1595
Oancea,BR,479
Rosiori,BR,1758
Coltea,BR,571
Florica,BR,446
Pribeagu,BR,129
Salcia Tudor,BR,880
Ariciu,BR,184
Cuza Voda,BR,1083
Gulianca,BR,548
Olaneasca,BR,469
Scortaru Nou,BR,540
Desirati,BR,0
Gurguieti,BR,254
Nicolae Balcescu,BR,0
Pitulati,BR,406
Sihleanu,BR,339
Silistea,BR,962
Cotu Lung,BR,243
Cotu Mihalea,BR,98
Martacesti,BR,163
Muchea,BR,350
Vamesu,BR,32
Stancuta,BR,1707
Cuza Voda,BR,1558
Polizesti,BR,166
Stanca,BR,394
Surdila-Gaiseanca,BR,1906
Filipesti,BR,927
Sutesti,BR,4365
Mihail Kogalniceanu,BR,386
Tichilesti,BR,3719
Albina,BR,323
Traian,BR,1228
Caldarusa,BR,215
Silistraru,BR,944
Urleasca,BR,1502
Tudor Vladimirescu,BR,1120
Cazasu,BR,2663
Comaneasca,BR,263
Scortaru Vechi,BR,1121
Tufesti,BR,6176
Ulmu,BR,3329
Jugureanu,BR,1339
Unirea,BR,1199
Morotesti,BR,0
Valea Canepii,BR,1315
Vadeni,BR,2483
Baldovinesti,BR,1115
Pietroiu,BR,623
Victoria,BR,2272
Mihai Bravu,BR,1632
Visani,BR,1989
Caineni-Bai,BR,497
Plasoiu,BR,265
Viziru,BR,4100
Lanurile,BR,2344
Zavoaia,BR,2617
Dudescu,BR,912
Buzau,BZ,148087
Ramnicu Sarat,BZ,41405
Amaru,BZ,1117
Campeni,BZ,232
Dulbanu,BZ,539
Lacu Sinaia,BZ,311
Lunca,BZ,215
Scorteanca,BZ,186
Balta Alba,BZ,746
Amara,BZ,1733
Baile,BZ,620
Stavarasti,BZ,138
Balaceanu,BZ,1726
Beceni,BZ,580
Arbanasi,BZ,18
Carpinistea,BZ,289
Dogari,BZ,368
Floresti,BZ,394
Gura Dimienii,BZ,783
Izvoru Dulce,BZ,1093
Margariti,BZ,479
Valea Parului,BZ,1276
Berca,BZ,4000
Baceni,BZ,179
Cojanu,BZ,164
Joseni,BZ,951
Manastirea Ratesti,BZ,127
Paclele,BZ,289
Plescoi,BZ,949
Plesesti,BZ,841
Ratesti,BZ,660
Satuc,BZ,694
Tatarligu,BZ,23
Valea Nucului,BZ,790
Viforata,BZ,59
Bisoca,BZ,297
Baltagari,BZ,267
Lacurile,BZ,463
Lopatareasa,BZ,273
Plesi,BZ,514
Recea,BZ,404
Sarile,BZ,586
Sindrila,BZ,233
Blajani,BZ,1085
Soresti,BZ,404
Boldu,BZ,2442
Bozioru,BZ,475
Buduile,BZ,27
Fisici,BZ,109
Gavanele,BZ,150
Gresia,BZ,7
Izvoarele,BZ,198
Nucu,BZ,115
Scaeni,BZ,84
Ulmet,BZ,95
Vavalucile,BZ,62
Bradeanu,BZ,1263
Mitropolia,BZ,597
Smardan,BZ,1152
Braesti,BZ,618
Bratilesti,BZ,540
Goidesti,BZ,356
Ivanetu,BZ,703
Pinu,BZ,346
Parscovelu,BZ,71
Ruginoasa,BZ,129
Breaza,BZ,1377
Badeni,BZ,166
Greceanca,BZ,1151
Valeanca-Vilanesti,BZ,446
Vispesti,BZ,505
Buda,BZ,1327
Alexandru Odobescu,BZ,600
Danulesti,BZ,255
Mucesti-Danulesti,BZ,593
Spidele,BZ,62
Toropalesti,BZ,513
Valea Larga,BZ,103
Calvini,BZ,900
Bascenii de Jos,BZ,1830
Bascenii de Sus,BZ,1008
Frasinet,BZ,165
Olari,BZ,392
C.a. Rosetti,BZ,959
Balteni,BZ,542
Balhacu,BZ,231
Cotu Ciorii,BZ,730
Lunca,BZ,1497
Vizireni,BZ,474
Canesti,BZ,243
Gontesti,BZ,45
Negosina,BZ,316
Pacurile,BZ,124
Suchea,BZ,277
Valea Verzei,BZ,179
Catina,BZ,859
Corbu,BZ,1036
Slobozia,BZ,234
Valea Catinei,BZ,593
Zeletin,BZ,218
Cernatesti,BZ,1224
Aldeni,BZ,568
Baesti,BZ,78
Caldarusa,BZ,86
Fulga,BZ,474
Manasia,BZ,376
Vladeni,BZ,58
Zarnestii de Slanic,BZ,1333
Chiliile,BZ,192
Budesti,BZ,84
Crevelesti,BZ,161
Ghiocari,BZ,63
Glodu-Petcari,BZ,197
Poiana Pletari,BZ,73
Trestioara,BZ,156
Chiojdu,BZ,1128
Basca Chiojdului,BZ,1273
Catiasu,BZ,528
Lera,BZ,525
Plescioara,BZ,210
Poenitele,BZ,440
Cilibia,BZ,466
Gara Cilibia,BZ,409
Manzu,BZ,287
Movila Oii,BZ,533
Posta,BZ,316
Cislau,BZ,2210
Barasti,BZ,582
Buda Craciunesti,BZ,986
Gura Bascei,BZ,370
Scarisoara,BZ,956
Cochirleanca,BZ,2722
Boboc,BZ,1655
Gara Bobocu,BZ,233
Rosioru,BZ,767
Tarlele,BZ,76
Colti,BZ,605
Alunis,BZ,178
Coltii de Jos,BZ,463
Muscelu Caramanesti,BZ,223
Costesti,BZ,1432
Budisteni,BZ,592
Gomoesti,BZ,302
Grosani,BZ,75
Pietrosu,BZ,1345
Spataru,BZ,874
Cozieni,BZ,338
Anini,BZ,99
Balanesti,BZ,405
Bercesti,BZ,182
Ciocanesti,BZ,83
Cocarceni,BZ,266
Colteni,BZ,69
Fata lui Nan,BZ,13
Glodurile,BZ,99
Izvoru,BZ,117
Lungesti,BZ,59
Nistoresti,BZ,50
Pietraru,BZ,141
Punga,BZ,107
Teisu,BZ,146
Trestia,BZ,232
Tulburea,BZ,253
Valea Banului,BZ,158
Valea Roatei,BZ,32
Zapodia,BZ,43
Galbinasi,BZ,1186
Bentu,BZ,869
Tabarasti,BZ,1793
Gheraseni,BZ,3243
Suditi,BZ,640
Ghergheasa,BZ,1393
Salcioara,BZ,1277
Glodeanu Sarat,BZ,2411
Caldaruseanca,BZ,632
Ileana,BZ,454
Pitulicea,BZ,908
Glodeanu-Silistea,BZ,1857
Casota,BZ,358
Carligu Mare,BZ,436
Carligu Mic,BZ,172
Corbu,BZ,103
Cotorca,BZ,891
Satu Nou,BZ,244
Vacareasca,BZ,750
Grebanu,BZ,2093
Homesti,BZ,915
Livada,BZ,644
Livada Mica,BZ,178
Plevna,BZ,1360
Zaplazi,BZ,100
Gura Teghii,BZ,1032
Furtunesti,BZ,1109
Nemertea,BZ,460
Paltinis,BZ,806
Secuiu,BZ,100
Vadu Oii,BZ,103
Varlaam,BZ,828
Largu,BZ,1649
Scarlatesti,BZ,151
Lopatari,BZ,1230
Brebu,BZ,165
Fundata,BZ,243
Luncile,BZ,974
Pestritu,BZ,116
Plaiu Nucului,BZ,700
Plostina,BZ,704
Potecu,BZ,114
Sareni,BZ,91
Terca,BZ,667
Varteju,BZ,116
Luciu,BZ,2094
Caragele,BZ,963
Magura,BZ,1445
Ciuta,BZ,743
Unguriu,BZ,2329
Maracineni,BZ,2020
Capatanesti,BZ,2597
Potoceni,BZ,1594
Margaritesti,BZ,266
Campulungeanca,BZ,338
Fantanele,BZ,399
Merei,BZ,683
Ciobanoaia,BZ,168
Dealul Viei,BZ,870
Dobrilesti,BZ,82
Gura Saratii,BZ,244
Izvoru Dulce,BZ,942
Lipia,BZ,1870
Nenciulesti,BZ,387
Ograzile,BZ,757
Sarata-Monteoru,BZ,908
Valea Putului Merei,BZ,258
Mihailesti,BZ,660
Coltaneni,BZ,257
Florica,BZ,1759
Margineanu,BZ,760
Satu Nou,BZ,484
Manzalesti,BZ,718
Beslii,BZ,364
Bustea,BZ,157
Ciresu,BZ,190
Ghizdita,BZ,106
Gura Badicului,BZ,220
Jghiab,BZ,168
Plavatu,BZ,125
Poiana Valcului,BZ,114
Satu Vechi,BZ,248
Trestioara,BZ,242
Valea Cotoarei,BZ,320
Valea Ursului,BZ,121
Movila Banului,BZ,1436
Cioranca,BZ,274
Limpezis,BZ,1146
Murgesti,BZ,985
Batogu,BZ,86
Valea Ratei,BZ,84
Naeni,BZ,651
Fintesti,BZ,805
Fantanele,BZ,173
Prosca,BZ,336
Varf,BZ,183
Nehoiu,BZ,6200
Basca Rozilei,BZ,1352
Chirlesti,BZ,341
Curmatura,BZ,301
Lunca Priporului,BZ,1443
Mlajet,BZ,881
Nehoiasu,BZ,412
Paltineni,BZ,1296
Stanila,BZ,153
Vinetisu,BZ,285
Odaile,BZ,80
Capu Satului,BZ,60
Corneanu,BZ,50
Gorani,BZ,17
Lacu,BZ,318
Piatra Alba,BZ,202
Posobesti,BZ,59
Scorosesti,BZ,97
Valea Fantanei,BZ,272
Valea Stefanului,BZ,61
Padina,BZ,5055
Tatulesti,BZ,0
Pardosi,BZ,204
Chiperu,BZ,100
Costomiru,BZ,182
Valea lui Lalu,BZ,120
Valea Schiopului,BZ,15
Panatau,BZ,772
Begu,BZ,323
Lacu cu Anini,BZ,186
Maguricea,BZ,177
Plaisor,BZ,253
Rapile,BZ,175
Sibiciu de Jos,BZ,660
Tega,BZ,348
Zaharesti,BZ,206
Patarlagele,BZ,2667
Calea Chiojdului,BZ,103
Crang,BZ,613
Fundaturile,BZ,203
Gornet,BZ,40
Lunca,BZ,451
Maruntisu,BZ,1156
Manastirea,BZ,108
Muscel,BZ,566
Poienile,BZ,377
Sibiciu de Sus,BZ,984
Stroesti,BZ,41
Valea Lupului,BZ,543
Valea Sibiciului,BZ,312
Valea Viei,BZ,514
Pietroasele,BZ,1788
Caltesti,BZ,40
Clondiru de Sus,BZ,255
Dara,BZ,217
Pietroasa Mica,BZ,226
Saranga,BZ,1470
Parscov,BZ,3241
Badila,BZ,767
Curcanesti,BZ,171
Lunca Frumoasa,BZ,847
Olesesti,BZ,16
Parjolesti,BZ,122
Robesti,BZ,478
Runcu,BZ,201
Tarcov,BZ,57
Tocileni,BZ,118
Trestieni,BZ,52
Valea Purcarului,BZ,28
Podgoria,BZ,596
Cotatcu,BZ,1489
Oratia,BZ,748
Plesesti,BZ,485
Tabacari,BZ,106
Pogoanele,BZ,5717
Caldarasti,BZ,2051
Posta Calnau,BZ,2265
Aliceni,BZ,535
Coconari,BZ,471
Potarnichesti,BZ,476
Suditi,BZ,1458
Zilisteanca,BZ,760
Puiestii de Jos,BZ,1515
Dascalesti,BZ,1059
Lunca,BZ,131
Macrina,BZ,588
Nicolesti,BZ,951
Plopi,BZ,98
Puiestii de Sus,BZ,522
Racoviteni,BZ,754
Budrea,BZ,257
Petrisoru,BZ,503
Ramnicelu,BZ,2880
Colibasi,BZ,395
Fotin,BZ,227
Stiubei,BZ,600
Robeasca,BZ,767
Mosesti,BZ,539
Rusetu,BZ,4073
Sergent Ionel Stefan,BZ,309
Sageata,BZ,1713
Banita,BZ,441
Beilic,BZ,445
Bordusani,BZ,461
Dambroca,BZ,1201
Gavanesti,BZ,1232
Movilita,BZ,22
Sahateni,BZ,1531
Gageni,BZ,459
Istrita de Jos,BZ,335
Vintileanca,BZ,1024
Sapoca,BZ,1692
Matesti,BZ,1445
Sarulesti,BZ,564
Caratnau de Jos,BZ,141
Caratnau de Sus,BZ,92
Goicelu,BZ,273
Sarile-Catun,BZ,20
Valea Larga-Sarulesti,BZ,374
Valea Stanei,BZ,237
Scortoasa,BZ,546
Balta Tocila,BZ,285
Beciu,BZ,283
Deleni,BZ,148
Dalma,BZ,183
Golu Grabicina,BZ,322
Grabicina de Jos,BZ,379
Grabicina de Sus,BZ,111
Gura Vaii,BZ,279
Plopeasa,BZ,393
Policiori,BZ,669
Scutelnici,BZ,1074
Arcanu,BZ,498
Bragareasa,BZ,718
Lipanescu,BZ,328
Lunca Jaristei,BZ,1163
Coltu Pietrii,BZ,727
Casoca,BZ,1095
Gura Siriului,BZ,77
Muscelusa,BZ,577
Smeeni,BZ,3330
Albesti,BZ,952
Balaia,BZ,153
Caltuna,BZ,593
Moisica,BZ,366
Udati-Lucieni,BZ,371
Udati-Manzu,BZ,948
Stalpu,BZ,3225
Izvoru,BZ,319
Barbuncesti,BZ,175
Grajdana,BZ,1008
Hales,BZ,709
Izvoranu,BZ,228
Leiculesti,BZ,211
Padurenii,BZ,485
Salcia,BZ,65
Strezeni,BZ,666
Tisau,BZ,894
Valea Salciilor,BZ,692
Topliceni,BZ,1148
Babeni,BZ,1130
Ceairu,BZ,87
Dedulesti,BZ,1076
Gura Fagetului,BZ,149
Posta,BZ,423
Raducesti,BZ,430
Tintesti,BZ,683
Maxenu,BZ,2042
Odaia Banului,BZ,110
Pogonele,BZ,1518
Ulmeni,BZ,1066
Baltareti,BZ,569
Clondiru,BZ,751
Sarata,BZ,392
Valcele,BZ,522
Vadu Pasii,BZ,2708
Bajani,BZ,479
Focsanei,BZ,683
Gura Calnaului,BZ,476
Scurtesti,BZ,2522
Stancesti,BZ,1563
Valea Ramnicului,BZ,1984
Oreavul,BZ,2325
Rubla,BZ,1219
Valea Salciei,BZ,458
Modreni,BZ,416
Valea Salciei-Catun,BZ,136
Vernesti,BZ,1826
Bradeanca,BZ,0
Candesti,BZ,2876
Carlomanesti,BZ,253
Mierea,BZ,462
Nenciu,BZ,27
Niscov,BZ,860
Sasenii Noi,BZ,330
Sasenii pe Vale,BZ,69
Sasenii Vechi,BZ,186
Zoresti,BZ,1263
Vintila Voda,BZ,1187
Bodinesti,BZ,97
Coca-Antimiresti,BZ,253
Coca-Niculesti,BZ,180
Niculesti,BZ,533
Petrachesti,BZ,434
Podu Muncii,BZ,464
Sarbesti,BZ,484
Smeesti,BZ,35
Viperesti,BZ,961
Muscel,BZ,300
Palici,BZ,537
Rusavat,BZ,353
Tronari,BZ,982
Ursoaia,BZ,438
Valcelele,BZ,1887
Fundeni,BZ,2443
Comisoaia,BZ,0
Pruneni,BZ,547
Vadu Soresti,BZ,1547
Zarnesti,BZ,1299
Ziduri,BZ,990
Costieni,BZ,895
Cuculeasa,BZ,470
Heliade Radulescu,BZ,974
Lanurile,BZ,869
Zoita,BZ,639
Ojasca,BZ,
Resita,CS,92516
Calnic,CS,1687
Cuptoare,CS,427
Doman,CS,813
Secu,CS,514
Terova,CS,573
Moniom,CS,388
Anina,CS,7705
Steierdorf,CS,3624
Baile Herculane,CS,5698
Pecinisca,CS,642
Bocsa,CS,19152
Ocna de Fier,CS,907
Caransebes,CS,31389
Jupa,CS,596
Moldova Noua,CS,4030
Macesti,CS,718
Moldova Veche,CS,11793
Moldovita,CS,333
Oravita,CS,12355
Ciclova Montana,CS,713
Marila,CS,121
Agadici,CS,284
Bradisoru de Jos,CS,654
Brosteni,CS,733
Rachitova,CS,433
Otelu Rosu,CS,11799
Ciresa,CS,835
Mal,CS,422
Armenis,CS,1519
Fenes,CS,856
Plopu,CS,5
Sat Batran,CS,517
Sub Margine,CS,326
Bania,CS,1400
Garbovat,CS,773
Bautar,CS,1667
Bucova,CS,1100
Cornisoru,CS,323
Preveciori,CS,19
Berliste,CS,469
Iam,CS,487
Milcoveni,CS,341
Rusova Noua,CS,147
Rusova Veche,CS,89
Berzasca,CS,1619
Bigar,CS,302
Cozla,CS,182
Drencova,CS,0
Liubcova,CS,1316
Berzovia,CS,2327
Fizes,CS,1072
Ghertenis,CS,1132
Bolvasnita,CS,610
Varciorova,CS,1112
Bozovici,CS,2668
Poneasca,CS,78
Prilipet,CS,879
Valea Minisului,CS,41
Brebu,CS,743
Apadia,CS,320
Valeadeni,CS,248
Brebu Nou,CS,16
Garana,CS,126
Buchin,CS,457
Lindenfeld,CS,1
Poiana,CS,761
Prisian,CS,464
Valea Timisului,CS,636
Bucosnita,CS,893
Golet,CS,655
Petrosnita,CS,1050
Valisoara,CS,797
Carasova,CS,2629
Iabalcea,CS,277
Nermed,CS,644
Carbunari,CS,915
Stinapari,CS,519
Cavaran,CS,760
Maciova,CS,498
Matnicu Mare,CS,464
Pestere,CS,298
Prisaca,CS,449
Zagujeni,CS,568
Ciclova Romana,CS,1289
Ilidia,CS,446
Socolari,CS,214
Ciuchici,CS,639
Macoviste,CS,193
Nicolint,CS,329
Petrilova,CS,243
Ciudanovita,CS,990
Jitin,CS,223
Copacele,CS,502
Ohaba-Matnic,CS,328
Ruginosu,CS,144
Zorile,CS,632
Cornea,CS,930
Crusovat,CS,683
Cuptoare,CS,771
Macoviste,CS,69
Cornereva,CS,324
Arsuri,CS,41
Bogaltin,CS,238
Bojia,CS,187
Borugi,CS,51
Camena,CS,131
Ciresel,CS,44
Costis,CS,52
Cozia,CS,166
Cracu Mare,CS,35
Cracu Teiului,CS,80
Dobraia,CS,29
Dolina,CS,44
Gruni,CS,59
Hora Mare,CS,97
Hora Mica,CS,36
Inelet,CS,47
Izvor,CS,105
Lunca Florii,CS,91
Lunca Zaicii,CS,88
Mesteacan,CS,53
Negiudin,CS,128
Obita,CS,62
Pogara de Sus,CS,222
Pogara,CS,67
Poiana Lunga,CS,88
Prisacina,CS,51
Prislop,CS,74
Rustin,CS,103
Scarisoara,CS,23
Strugasca,CS,61
Studena,CS,72
Sub Crang,CS,61
Sub Plai,CS,78
Topla,CS,171
Tatu,CS,52
Zanogi,CS,159
Zbegu,CS,193
Zmogotin,CS,94
Zoina,CS,75
Dalboset,CS,1107
Barz,CS,59
Boina,CS,47
Boinita,CS,18
Prislop,CS,26
Resita Mica,CS,23
Sopotu Vechi,CS,854
Doclin,CS,607
Binis,CS,905
Tirol,CS,730
Dognecea,CS,2121
Calina,CS,160
Domasnea,CS,1269
Canicea,CS,434
Ezeris,CS,666
Soceni,CS,710
Farliug,CS,1019
Dezesti,CS,223
Duleu,CS,293
Remetea-Poganici,CS,232
Scaius,CS,451
Valea Mare,CS,161
Forotic,CS,672
Brezon,CS,110
Comoraste,CS,759
Surducu Mare,CS,514
Garnic,CS,882
Padina Matei,CS,1022
Glimboca,CS,1931
Goruia,CS,438
Giurgiova,CS,184
Garliste,CS,474
Gradinari,CS,1244
Greoni,CS,1057
Iablanita,CS,1010
Globu Craiovei,CS,882
Petnic,CS,937
Lapusnicel,CS,752
Parvova,CS,702
Sumita,CS,210
Lapusnicu Mare,CS,1410
Moceris,CS,792
Luncavita,CS,1132
Verendin,CS,2016
Lupac,CS,1084
Clocotici,CS,1013
Rafnic,CS,642
Vodnic,CS,482
Marga,CS,1311
Vama Marga,CS,100
Maureni,CS,1692
Sosdea,CS,854
Mehadia,CS,2834
Globurau,CS,311
Plugova,CS,1101
Valea Bolvasnita,CS,1018
Mehadica,CS,1026
Naidas,CS,998
Lescovita,CS,432
Obreja,CS,1774
Ciuta,CS,375
Iaz,CS,700
Var,CS,438
Paltinis,CS,673
Cornutel,CS,1067
Delinesti,CS,602
Ohabita,CS,128
Rugi,CS,376
Coronini,CS,1331
Sfanta Elena,CS,737
Pojejena,CS,1386
Belobresca,CS,712
Divici,CS,382
Radimna,CS,602
Susca,CS,509
Prigor,CS,1170
Borlovenii Noi,CS,592
Borlovenii Vechi,CS,625
Patas,CS,755
Putna,CS,213
Ramna,CS,1389
Barbosu,CS,63
Valeapai,CS,570
Racasdia,CS,1819
Vraniut,CS,513
Eftimie Murgu,CS,1970
Rusca Montana,CS,1820
Ruschita,CS,802
Sacu,CS,951
Salbagelu Nou,CS,219
Tincova,CS,483
Sasca Montana,CS,787
Bogodint,CS,232
Potoc,CS,350
Sasca Romana,CS,551
Slatina-Nera,CS,380
Sichevita,CS,1516
Brestelnic,CS,16
Camenita,CS,28
Carsie,CS,86
Cracu Almaj,CS,11
Crusovita,CS,106
Curmatura,CS,35
Frasinis,CS,52
Gornea,CS,700
Liborajdea,CS,4
Lucacevat,CS,43
Martinovat,CS,22
Ogasu Podului,CS,4
Streneac,CS,8
Valea Orevita,CS,7
Valea Ravensca,CS,43
Valea Sichevitei,CS,29
Zanou,CS,36
Zasloane,CS,58
Slatina-Timis,CS,1977
Ilova,CS,972
Sadova Noua,CS,388
Sadova Veche,CS,322
Socol,CS,840
Bazias,CS,51
Campia,CS,690
Parneaura,CS,85
Zlatita,CS,768
Sopotu Nou,CS,379
Carsa Rosie,CS,94
Dristie,CS,35
Poienile Boinei,CS,53
Ravensca,CS,227
Rachita,CS,183
Stancilova,CS,442
Urcu,CS,52
Valea Rachitei,CS,119
Valea Rosie,CS,75
Teregova,CS,3464
Rusca,CS,1481
Ticvaniu Mare,CS,782
Carnecea,CS,422
Secaseni,CS,362
Ticvaniu Mic,CS,401
Tarnova,CS,2089
Bratova,CS,11
Toplet,CS,2716
Barza,CS,602
Turnu Ruieni,CS,1599
Borlova,CS,1542
Cicleni,CS,33
Dalci,CS,295
Zervesti,CS,581
Zlagna,CS,386
Valiug,CS,1185
Varadia,CS,963
Mercina,CS,632
Vermes,CS,1258
Ersig,CS,311
Izgar,CS,403
Vrani,CS,1026
Ciortea,CS,241
Iertof,CS,157
Zavoi,CS,788
Magura,CS,539
Maru,CS,1040
Poiana Marului,CS,411
Valea Bistrei,CS,449
Voislova,CS,669
23-Aug,CS,674
Zorlentu Mare,CS,1063
Zorlencior,CS,152
Cluj-Napoca,CJ,328602
Dej,CJ,37745
Ocna Dejului,CJ,2246
Pestera,CJ,0
Pintic,CJ,540
Somcutu Mic,CJ,685
Cuzdrioara,CJ,2153
Manasturel,CJ,672
Valea Garboului,CJ,36
Jichisu de Jos,CJ,452
Codor,CJ,387
Jichisu de Sus,CJ,309
Sigau,CJ,67
Tarpiu,CJ,151
Mica,CJ,746
Dambu Mare,CJ,81
Manastirea,CJ,648
Nires,CJ,1233
Sanmarghita,CJ,1088
Valea Ciresoii,CJ,19
Valea Luncii,CJ,73
Turda,CJ,61200
Mihai Viteazu,CJ,4304
Cheia,CJ,554
Cornesti,CJ,746
Sandulesti,CJ,631
Copaceni,CJ,1120
Campia Turzii,CJ,29307
Gherla,CJ,25284
Baita,CJ,461
Hasdate,CJ,309
Silivas,CJ,223
Huedin,CJ,9460
Bicalatu,CJ,501
Aghiresu,CJ,1375
Aghiresu-Fabrici,CJ,3422
Arghisu,CJ,222
Bagara,CJ,432
Dancu,CJ,183
Doroltu,CJ,120
Inucu,CJ,497
Leghia,CJ,609
Macau,CJ,805
Ticu,CJ,100
Ticu-Colonie,CJ,236
Aiton,CJ,831
Rediu,CJ,795
Alunis,CJ,664
Corneni,CJ,196
Ghirolt,CJ,514
Pruneni,CJ,64
Vale,CJ,209
Apahida,CJ,3902
Bodrog,CJ,81
Campenesti,CJ,10
Corpadea,CJ,529
Dezmir,CJ,1140
Pata,CJ,600
Sannicoara,CJ,1309
Sub Coasta,CJ,69
Aschileu Mare,CJ,695
Aschileu Mic,CJ,388
Cristorel,CJ,465
Dorna,CJ,75
Fodora,CJ,329
Baciu,CJ,3677
Corusu,CJ,641
Mera,CJ,1368
Popesti,CJ,591
Radaia,CJ,125
Salistea Noua,CJ,198
Suceagu,CJ,1170
Baisoara,CJ,1146
Frasinet,CJ,51
Moara de Padure,CJ,93
Muntele Baisorii,CJ,386
Muntele Bocului,CJ,73
